CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
1.995	0.1	0.7908	0.025
1.995	0.2	0.8868	0.0192
1.995	0.3	1.1043	0.0223
1.995	0.4	1.22	0.0242
1.995	0.5	1.4142	0.0249
1.995	0.6	1.5763	0.0262
1.995	0.7	1.8544	0.0308
1.995	0.8	1.8711	0.0378
1.995	0.89	1.9036	0.1042
2.005	-0.9	0.5978	0.1062
2.005	-0.8	0.7189	0.0523
2.005	-0.7	0.4983	0.0221
2.005	-0.6	0.361	0.0169
2.005	-0.5	0.2897	0.014
2.005	-0.4	0.2901	0.0125
2.005	-0.3	0.2898	0.011
2.005	-0.2	0.3367	0.012
2.005	-0.1	0.4537	0.0209
2.005	0	0.5505	0.0159
2.005	0.1	0.7133	0.0218
2.005	0.2	0.8298	0.0168
2.005	0.3	1.0243	0.0194
2.005	0.4	1.1912	0.0224
2.005	0.5	1.3024	0.0215
2.005	0.6	1.5556	0.0241
2.005	0.7	1.6461	0.0258
2.005	0.8	1.769	0.0333
2.005	0.89	1.9404	0.0998
2.015	-0.9	0.8097	0.1968
2.015	-0.8	0.7432	0.0605
2.015	-0.7	0.4171	0.0218
2.015	-0.6	0.3547	0.0191
2.015	-0.5	0.2787	0.0147
2.015	-0.4	0.2224	0.0114
2.015	-0.3	0.2366	0.011
2.015	-0.2	0.2964	0.0119
2.015	-0.1	0.4064	0.0149
2.015	0	0.4994	0.0155
2.015	0.1	0.6962	0.0228
2.015	0.2	0.801	0.0176
2.015	0.3	0.9454	0.0201
2.015	0.4	1.1624	0.0228
2.015	0.5	1.3367	0.0232
2.015	0.6	1.4877	0.0248
2.015	0.7	1.561	0.026
2.015	0.8	1.7822	0.0356
2.015	0.89	2.1192	0.1224
2.025	-0.9	0.6421	0.1215
2.025	-0.8	0.5937	0.0508
2.025	-0.7	0.4517	0.023
2.025	-0.6	0.2878	0.0158
2.025	-0.5	0.2648	0.0142
2.025	-0.4	0.2033	0.0102
2.025	-0.3	0.2143	0.0096
2.025	-0.2	0.2664	0.011
2.025	-0.1	0.3692	0.0137
2.025	0	0.4881	0.0155
2.025	0.1	0.6383	0.0215
2.025	0.2	0.7657	0.0164
2.025	0.3	0.9435	0.0192
2.025	0.4	1.0511	0.0206
2.025	0.5	1.2671	0.0219
2.025	0.6	1.4269	0.0235
2.025	0.7	1.6317	0.0269
2.025	0.8	1.7204	0.0336
2.025	0.89	1.7103	0.0745
2.035	-0.8	0.5406	0.0433
2.035	-0.7	0.3824	0.0197
2.035	-0.6	0.3099	0.0164
2.035	-0.5	0.2577	0.0142
2.035	-0.4	0.1798	0.0099
2.035	-0.3	0.2139	0.0099
2.035	-0.2	0.2743	0.0113
2.035	-0.1	0.35	0.0132
2.035	0	0.5165	0.0163
2.035	0.1	0.6605	0.0209
2.035	0.2	0.7727	0.0167
2.035	0.3	0.9388	0.0191
2.035	0.4	1.1171	0.0209
2.035	0.5	1.3028	0.0221
2.035	0.6	1.4619	0.0233
2.035	0.7	1.7091	0.0272
2.035	0.8	1.797	0.0338
2.035	0.89	1.8272	0.0983
2.045	-0.9	0.5902	0.1289
2.045	-0.8	0.5858	0.0523
2.045	-0.7	0.3486	0.0197
2.045	-0.6	0.2713	0.0158
2.045	-0.5	0.2042	0.0155
2.045	-0.4	0.1757	0.01
2.045	-0.3	0.1831	0.0093
2.045	-0.2	0.2316	0.0107
2.045	-0.1	0.3455	0.0138
2.045	0	0.4698	0.0161
2.045	0.1	0.5821	0.0198
2.045	0.2	0.6844	0.0162
